Source,Target,Weight
Modelocon4temas_Subtema2,mujer,-0.127
Modelocon4temas_Subtema2,él,0.095
Modelocon4temas_Subtema2,decir,0.095
Modelocon4temas_Subtema2,izquierda,0.09
Modelocon4temas_Subtema2,atvox_es,0.081
Modelocon4temas_Subtema2,pagar,0.078
Modelocon4temas_Subtema3,mujer,-0.779
Modelocon4temas_Subtema3,derecho,0.283
Modelocon4temas_Subtema3,hombre,-0.261
Modelocon4temas_Subtema3,igualdad,0.239
Modelocon4temas_Subtema3,aborto,0.19
Modelocon4temas_Subtema3,género,0.128
Modelocon4temas_Subtema3,feminismo,-0.109
Modelocon4temas_Subtema3,decidir,-0.099
Modelocon4temas_Subtema3,vida,0.095
Modelocon4temas_Subtema3,decir,0.09
Modelocon5temas_Subtema0,igualdad,-0.629
Modelocon5temas_Subtema0,mujer,-0.363
Modelocon5temas_Subtema0,aborto,-0.337
Modelocon5temas_Subtema0,derecho,-0.22
Modelocon5temas_Subtema0,él,-0.212
Modelocon5temas_Subtema0,hombre,-0.184
Modelocon5temas_Subtema0,vox,-0.173
Modelocon5temas_Subtema0,género,-0.161
Modelocon5temas_Subtema0,deber,-0.113
Modelocon5temas_Subtema0,vida,-0.11
Modelocon5temas_Subtema1,igualdad,-0.597
Modelocon5temas_Subtema1,aborto,0.577
Modelocon5temas_Subtema1,vox,0.248
Modelocon5temas_Subtema1,derecho,0.202
Modelocon5temas_Subtema1,él,0.196
Modelocon5temas_Subtema1,género,-0.167
Modelocon5temas_Subtema1,vida,0.136
Modelocon5temas_Subtema1,año,0.09
Modelocon5temas_Subtema1,000,0.087
Modelocon5temas_Subtema1,hombre,-0.084
Modelocon5temas_Subtema2,vox,-0.761
Modelocon5temas_Subtema2,aborto,0.417
Modelocon5temas_Subtema2,voto,-0.258
Modelocon5temas_Subtema2,pp,-0.202
Modelocon5temas_Subtema2,mujer,0.127
Modelocon5temas_Subtema2,él,-0.095
Modelocon5temas_Subtema2,decir,-0.094
Modelocon5temas_Subtema2,izquierda,-0.09
Modelocon5temas_Subtema2,atvox_es,-0.081
Modelocon5temas_Subtema2,pagar,-0.078
Modelocon5temas_Subtema3,mujer,0.779
Modelocon5temas_Subtema3,derecho,-0.283
Modelocon5temas_Subtema3,hombre,0.261
Modelocon5temas_Subtema3,igualdad,-0.239
Modelocon5temas_Subtema3,aborto,-0.19
Modelocon5temas_Subtema3,género,-0.128
Modelocon5temas_Subtema3,feminismo,0.109
Modelocon5temas_Subtema3,decidir,0.099
Modelocon5temas_Subtema3,vida,-0.095
Modelocon5temas_Subtema3,decir,-0.09
Modelocon5temas_Subtema4,derecho,-0.699
Modelocon5temas_Subtema4,aborto,0.295
Modelocon5temas_Subtema4,privado,0.184
Modelocon5temas_Subtema4,atemmarincon,-0.182
Modelocon5temas_Subtema4,000,0.18
Modelocon5temas_Subtema4,vida,-0.174
Modelocon5temas_Subtema4,vox,0.151
Modelocon5temas_Subtema4,público,0.145
Modelocon5temas_Subtema4,año,0.133
Modelocon5temas_Subtema4,león,0.128
Modelocon6temas_Subtema0,igualdad,0.629
Modelocon6temas_Subtema0,mujer,0.363
Modelocon6temas_Subtema0,aborto,0.337
Modelocon6temas_Subtema0,derecho,0.22
Modelocon6temas_Subtema0,él,0.212
Modelocon6temas_Subtema0,hombre,0.184
Modelocon6temas_Subtema0,vox,0.173
Modelocon6temas_Subtema0,género,0.161
Modelocon6temas_Subtema0,deber,0.113
Modelocon6temas_Subtema0,vida,0.11
Modelocon6temas_Subtema1,igualdad,0.597
Modelocon6temas_Subtema1,aborto,-0.577
Modelocon6temas_Subtema1,vox,-0.248
Modelocon6temas_Subtema1,derecho,-0.202
Modelocon6temas_Subtema1,él,-0.196
Modelocon6temas_Subtema1,género,0.167
Modelocon6temas_Subtema1,vida,-0.136
Modelocon6temas_Subtema1,año,-0.09
Modelocon6temas_Subtema1,000,-0.087
Modelocon6temas_Subtema1,hombre,0.084
Modelocon6temas_Subtema2,vox,0.761
Modelocon6temas_Subtema2,aborto,-0.417
Modelocon6temas_Subtema2,voto,0.258
Modelocon6temas_Subtema2,pp,0.202
Modelocon6temas_Subtema2,mujer,-0.127
Modelocon6temas_Subtema2,él,0.095
Modelocon6temas_Subtema2,decir,0.095
Modelocon6temas_Subtema2,izquierda,0.09
Modelocon6temas_Subtema2,atvox_es,0.081
Modelocon6temas_Subtema2,pagar,0.078
Modelocon6temas_Subtema3,mujer,0.779
Modelocon6temas_Subtema3,derecho,-0.283
Modelocon6temas_Subtema3,hombre,0.261
Modelocon6temas_Subtema3,igualdad,-0.239
Modelocon6temas_Subtema3,aborto,-0.19
Modelocon6temas_Subtema3,género,-0.128
Modelocon6temas_Subtema3,feminismo,0.109
Modelocon6temas_Subtema3,decidir,0.099
Modelocon6temas_Subtema3,vida,-0.095
Modelocon6temas_Subtema3,decir,-0.09
Modelocon6temas_Subtema4,derecho,-0.699
Modelocon6temas_Subtema4,aborto,0.295
Modelocon6temas_Subtema4,privado,0.184
Modelocon6temas_Subtema4,atemmarincon,-0.182
Modelocon6temas_Subtema4,000,0.18
Modelocon6temas_Subtema4,vida,-0.174
Modelocon6temas_Subtema4,vox,0.151
Modelocon6temas_Subtema4,público,0.145
Modelocon6temas_Subtema4,año,0.133
Modelocon6temas_Subtema4,león,0.128
Modelocon6temas_Subtema5,voto,-0.661
Modelocon6temas_Subtema5,él,0.544
Modelocon6temas_Subtema5,derecho,-0.195
Modelocon6temas_Subtema5,vox,0.152
Modelocon6temas_Subtema5,mujer,-0.118
Modelocon6temas_Subtema5,000,-0.099
Modelocon6temas_Subtema5,decir,0.099
Modelocon6temas_Subtema5,español,-0.095
Modelocon6temas_Subtema5,izquierdo,0.092
Modelocon6temas_Subtema5,gobierno,-0.091
Modelocon7temas_Subtema0,igualdad,-0.629
Modelocon7temas_Subtema0,mujer,-0.363
Modelocon7temas_Subtema0,aborto,-0.337
Modelocon7temas_Subtema0,derecho,-0.22
Modelocon7temas_Subtema0,él,-0.212
Modelocon7temas_Subtema0,hombre,-0.184
Modelocon7temas_Subtema0,vox,-0.173
Modelocon7temas_Subtema0,género,-0.161
Modelocon7temas_Subtema0,deber,-0.113
Modelocon7temas_Subtema0,vida,-0.11
Modelocon7temas_Subtema1,igualdad,-0.597
Modelocon7temas_Subtema1,aborto,0.577
Modelocon7temas_Subtema1,vox,0.248
Modelocon7temas_Subtema1,derecho,0.202
Modelocon7temas_Subtema1,él,0.196
Modelocon7temas_Subtema1,género,-0.167
Modelocon7temas_Subtema1,vida,0.136
Modelocon7temas_Subtema1,año,0.09
Modelocon7temas_Subtema1,000,0.087
Modelocon7temas_Subtema1,hombre,-0.084
Modelocon7temas_Subtema2,vox,0.761
Modelocon7temas_Subtema2,aborto,-0.417
Modelocon7temas_Subtema2,voto,0.258
Modelocon7temas_Subtema2,pp,0.202
Modelocon7temas_Subtema2,mujer,-0.127
Modelocon7temas_Subtema2,él,0.095
Modelocon7temas_Subtema2,decir,0.095
Modelocon7temas_Subtema2,izquierda,0.09
Modelocon7temas_Subtema2,atvox_es,0.081
Modelocon7temas_Subtema2,pagar,0.078
Modelocon7temas_Subtema3,mujer,0.779
Modelocon7temas_Subtema3,derecho,-0.283
Modelocon7temas_Subtema3,hombre,0.261
Modelocon7temas_Subtema3,igualdad,-0.239
Modelocon7temas_Subtema3,aborto,-0.19
Modelocon7temas_Subtema3,género,-0.128
Modelocon7temas_Subtema3,feminismo,0.108
Modelocon7temas_Subtema3,decidir,0.099
Modelocon7temas_Subtema3,vida,-0.095
Modelocon7temas_Subtema3,decir,-0.09
Modelocon7temas_Subtema4,derecho,0.699
Modelocon7temas_Subtema4,aborto,-0.295
Modelocon7temas_Subtema4,privado,-0.184
Modelocon7temas_Subtema4,atemmarincon,0.182
Modelocon7temas_Subtema4,000,-0.18
Modelocon7temas_Subtema4,vida,0.174
Modelocon7temas_Subtema4,vox,-0.151
Modelocon7temas_Subtema4,público,-0.145
Modelocon7temas_Subtema4,año,-0.133
Modelocon7temas_Subtema4,león,-0.128
Modelocon7temas_Subtema5,voto,0.661
Modelocon7temas_Subtema5,él,-0.544
Modelocon7temas_Subtema5,derecho,0.195
Modelocon7temas_Subtema5,vox,-0.152
Modelocon7temas_Subtema5,mujer,0.118
Modelocon7temas_Subtema5,000,0.099
Modelocon7temas_Subtema5,decir,-0.099
Modelocon7temas_Subtema5,español,0.095
Modelocon7temas_Subtema5,izquierdo,-0.092
Modelocon7temas_Subtema5,gobierno,0.091
Modelocon7temas_Subtema6,él,0.482
Modelocon7temas_Subtema6,voto,0.48
Modelocon7temas_Subtema6,vox,-0.349
Modelocon7temas_Subtema6,izquierdo,0.346
Modelocon7temas_Subtema6,derecho,-0.183
Modelocon7temas_Subtema6,medio,0.139
Modelocon7temas_Subtema6,pasar,0.134
Modelocon7temas_Subtema6,quedar,0.101
Modelocon7temas_Subtema6,idea,0.1
Modelocon7temas_Subtema6,privado,-0.097
Modelocon8temas_Subtema0,igualdad,0.629
Modelocon8temas_Subtema0,mujer,0.363
Modelocon8temas_Subtema0,aborto,0.337
Modelocon8temas_Subtema0,derecho,0.22
Modelocon8temas_Subtema0,él,0.212
Modelocon8temas_Subtema0,hombre,0.184
Modelocon8temas_Subtema0,vox,0.173
Modelocon8temas_Subtema0,género,0.161
Modelocon8temas_Subtema0,deber,0.113
Modelocon8temas_Subtema0,vida,0.11
Modelocon8temas_Subtema1,igualdad,-0.597
Modelocon8temas_Subtema1,aborto,0.577
Modelocon8temas_Subtema1,vox,0.248
Modelocon8temas_Subtema1,derecho,0.202
Modelocon8temas_Subtema1,él,0.196
Modelocon8temas_Subtema1,género,-0.167
Modelocon8temas_Subtema1,vida,0.136
Modelocon8temas_Subtema1,año,0.09
Modelocon8temas_Subtema1,000,0.087
Modelocon8temas_Subtema1,hombre,-0.084
Modelocon8temas_Subtema2,vox,0.761
Modelocon8temas_Subtema2,aborto,-0.417
Modelocon8temas_Subtema2,voto,0.258
Modelocon8temas_Subtema2,pp,0.202
Modelocon8temas_Subtema2,mujer,-0.127
Modelocon8temas_Subtema2,él,0.095
Modelocon8temas_Subtema2,decir,0.095
Modelocon8temas_Subtema2,izquierda,0.09
Modelocon8temas_Subtema2,atvox_es,0.081
Modelocon8temas_Subtema2,pagar,0.078
Modelocon8temas_Subtema3,mujer,0.779
Modelocon8temas_Subtema3,derecho,-0.283
Modelocon8temas_Subtema3,hombre,0.261
Modelocon8temas_Subtema3,igualdad,-0.239
Modelocon8temas_Subtema3,aborto,-0.19
Modelocon8temas_Subtema3,género,-0.128
Modelocon8temas_Subtema3,feminismo,0.108
Modelocon8temas_Subtema3,decidir,0.099
Modelocon8temas_Subtema3,vida,-0.095
Modelocon8temas_Subtema3,decir,-0.09
Modelocon8temas_Subtema4,derecho,-0.699
Modelocon8temas_Subtema4,aborto,0.295
Modelocon8temas_Subtema4,privado,0.184
Modelocon8temas_Subtema4,atemmarincon,-0.182
Modelocon8temas_Subtema4,000,0.18
Modelocon8temas_Subtema4,vida,-0.174
Modelocon8temas_Subtema4,vox,0.151
Modelocon8temas_Subtema4,público,0.145
Modelocon8temas_Subtema4,año,0.133
Modelocon8temas_Subtema4,león,0.128
Modelocon8temas_Subtema5,voto,0.661
Modelocon8temas_Subtema5,él,-0.544
Modelocon8temas_Subtema5,derecho,0.195
Modelocon8temas_Subtema5,vox,-0.152
Modelocon8temas_Subtema5,mujer,0.118
Modelocon8temas_Subtema5,000,0.099
Modelocon8temas_Subtema5,decir,-0.099
Modelocon8temas_Subtema5,español,0.095
Modelocon8temas_Subtema5,izquierdo,-0.092
Modelocon8temas_Subtema5,gobierno,0.092
Modelocon8temas_Subtema6,él,-0.482
Modelocon8temas_Subtema6,voto,-0.48
Modelocon8temas_Subtema6,vox,0.348
Modelocon8temas_Subtema6,izquierdo,-0.346
Modelocon8temas_Subtema6,derecho,0.183
Modelocon8temas_Subtema6,medio,-0.138
Modelocon8temas_Subtema6,pasar,-0.134
Modelocon8temas_Subtema6,quedar,-0.101
Modelocon8temas_Subtema6,idea,-0.1
Modelocon8temas_Subtema6,privado,0.097
Modelocon8temas_Subtema7,privado,0.339
Modelocon8temas_Subtema7,público,0.322
Modelocon8temas_Subtema7,aborto,-0.299
Modelocon8temas_Subtema7,izquierdo,0.294
Modelocon8temas_Subtema7,derecho,0.23
Modelocon8temas_Subtema7,león,0.225
Modelocon8temas_Subtema7,castilla,0.212
Modelocon8temas_Subtema7,valladolid,0.194
Modelocon8temas_Subtema7,euros,0.191
Modelocon8temas_Subtema7,año,0.19
Modelocon9temas_Subtema0,igualdad,0.629
Modelocon9temas_Subtema0,mujer,0.363
Modelocon9temas_Subtema0,aborto,0.337
Modelocon9temas_Subtema0,derecho,0.22
Modelocon9temas_Subtema0,él,0.212
Modelocon9temas_Subtema0,hombre,0.184
Modelocon9temas_Subtema0,vox,0.173
Modelocon9temas_Subtema0,género,0.161
Modelocon9temas_Subtema0,deber,0.113
Modelocon9temas_Subtema0,vida,0.11
Modelocon9temas_Subtema1,igualdad,-0.597
Modelocon9temas_Subtema1,aborto,0.577
Modelocon9temas_Subtema1,vox,0.248
Modelocon9temas_Subtema1,derecho,0.202
Modelocon9temas_Subtema1,él,0.196
Modelocon9temas_Subtema1,género,-0.167
Modelocon9temas_Subtema1,vida,0.136
Modelocon9temas_Subtema1,año,0.09
Modelocon9temas_Subtema1,000,0.087
Modelocon9temas_Subtema1,hombre,-0.084
Modelocon9temas_Subtema2,vox,-0.761
Modelocon9temas_Subtema2,aborto,0.417
Modelocon9temas_Subtema2,voto,-0.258
Modelocon9temas_Subtema2,pp,-0.202
Modelocon9temas_Subtema2,mujer,0.127
Modelocon9temas_Subtema2,él,-0.095
Modelocon9temas_Subtema2,decir,-0.095
Modelocon9temas_Subtema2,izquierda,-0.09
Modelocon9temas_Subtema2,atvox_es,-0.081
Modelocon9temas_Subtema2,pagar,-0.078
Modelocon9temas_Subtema3,mujer,-0.779
Modelocon9temas_Subtema3,derecho,0.283
Modelocon9temas_Subtema3,hombre,-0.261
Modelocon9temas_Subtema3,igualdad,0.239
Modelocon9temas_Subtema3,aborto,0.19
Modelocon9temas_Subtema3,género,0.128
Modelocon9temas_Subtema3,feminismo,-0.108
Modelocon9temas_Subtema3,decidir,-0.099
Modelocon9temas_Subtema3,vida,0.095
Modelocon9temas_Subtema3,decir,0.09
Modelocon9temas_Subtema4,derecho,-0.699
Modelocon9temas_Subtema4,aborto,0.295
Modelocon9temas_Subtema4,privado,0.184
Modelocon9temas_Subtema4,atemmarincon,-0.182
Modelocon9temas_Subtema4,000,0.18
Modelocon9temas_Subtema4,vida,-0.174
Modelocon9temas_Subtema4,vox,0.151
Modelocon9temas_Subtema4,público,0.145
Modelocon9temas_Subtema4,año,0.133
Modelocon9temas_Subtema4,león,0.128
Modelocon9temas_Subtema5,voto,-0.661
Modelocon9temas_Subtema5,él,0.544
Modelocon9temas_Subtema5,derecho,-0.195
Modelocon9temas_Subtema5,vox,0.152
Modelocon9temas_Subtema5,mujer,-0.118
Modelocon9temas_Subtema5,000,-0.099
Modelocon9temas_Subtema5,decir,0.099
Modelocon9temas_Subtema5,español,-0.095
Modelocon9temas_Subtema5,izquierdo,0.092
Modelocon9temas_Subtema5,gobierno,-0.091
Modelocon9temas_Subtema6,él,0.482
Modelocon9temas_Subtema6,voto,0.48
Modelocon9temas_Subtema6,vox,-0.348
Modelocon9temas_Subtema6,izquierdo,0.346
Modelocon9temas_Subtema6,derecho,-0.183
Modelocon9temas_Subtema6,medio,0.139
Modelocon9temas_Subtema6,pasar,0.134
Modelocon9temas_Subtema6,quedar,0.101
Modelocon9temas_Subtema6,idea,0.099
Modelocon9temas_Subtema6,privado,-0.097
Modelocon9temas_Subtema7,privado,-0.339
Modelocon9temas_Subtema7,público,-0.322
Modelocon9temas_Subtema7,aborto,0.299
Modelocon9temas_Subtema7,izquierdo,-0.294
Modelocon9temas_Subtema7,derecho,-0.23
Modelocon9temas_Subtema7,león,-0.225
Modelocon9temas_Subtema7,castilla,-0.212
Modelocon9temas_Subtema7,valladolid,-0.194
Modelocon9temas_Subtema7,euros,-0.191
Modelocon9temas_Subtema7,año,-0.189
Modelocon9temas_Subtema8,izquierdo,0.472
Modelocon9temas_Subtema8,dirigir,-0.399
Modelocon9temas_Subtema8,volver,-0.393
Modelocon9temas_Subtema8,gallardo,-0.363
Modelocon9temas_Subtema8,medio,0.35
Modelocon9temas_Subtema8,él,-0.183
Modelocon9temas_Subtema8,marcelo,-0.155
Modelocon9temas_Subtema8,año,-0.107
Modelocon9temas_Subtema8,género,0.103
Modelocon9temas_Subtema8,vida,0.095
Modelocon10temas_Subtema0,igualdad,-0.629
Modelocon10temas_Subtema0,mujer,-0.363
Modelocon10temas_Subtema0,aborto,-0.337
Modelocon10temas_Subtema0,derecho,-0.22
Modelocon10temas_Subtema0,él,-0.212
Modelocon10temas_Subtema0,hombre,-0.184
Modelocon10temas_Subtema0,vox,-0.173
Modelocon10temas_Subtema0,género,-0.161
Modelocon10temas_Subtema0,deber,-0.113
Modelocon10temas_Subtema0,vida,-0.11
Modelocon10temas_Subtema1,igualdad,0.597
Modelocon10temas_Subtema1,aborto,-0.577
Modelocon10temas_Subtema1,vox,-0.248
Modelocon10temas_Subtema1,derecho,-0.202
Modelocon10temas_Subtema1,él,-0.196
Modelocon10temas_Subtema1,género,0.167
Modelocon10temas_Subtema1,vida,-0.136
Modelocon10temas_Subtema1,año,-0.09
Modelocon10temas_Subtema1,000,-0.087
Modelocon10temas_Subtema1,hombre,0.084
Modelocon10temas_Subtema2,vox,0.761
Modelocon10temas_Subtema2,aborto,-0.417
Modelocon10temas_Subtema2,voto,0.258
Modelocon10temas_Subtema2,pp,0.202
Modelocon10temas_Subtema2,mujer,-0.127
Modelocon10temas_Subtema2,él,0.095
Modelocon10temas_Subtema2,decir,0.094
Modelocon10temas_Subtema2,izquierda,0.09
Modelocon10temas_Subtema2,atvox_es,0.081
Modelocon10temas_Subtema2,pagar,0.078
Modelocon10temas_Subtema3,mujer,0.779
Modelocon10temas_Subtema3,derecho,-0.283
Modelocon10temas_Subtema3,hombre,0.261
Modelocon10temas_Subtema3,igualdad,-0.239
Modelocon10temas_Subtema3,aborto,-0.19
Modelocon10temas_Subtema3,género,-0.128
Modelocon10temas_Subtema3,feminismo,0.108
Modelocon10temas_Subtema3,decidir,0.099
Modelocon10temas_Subtema3,vida,-0.095
Modelocon10temas_Subtema3,decir,-0.09
Modelocon10temas_Subtema4,derecho,0.699
Modelocon10temas_Subtema4,aborto,-0.295
Modelocon10temas_Subtema4,privado,-0.184
Modelocon10temas_Subtema4,atemmarincon,0.182
Modelocon10temas_Subtema4,000,-0.18
Modelocon10temas_Subtema4,vida,0.174
Modelocon10temas_Subtema4,vox,-0.151
Modelocon10temas_Subtema4,público,-0.145
Modelocon10temas_Subtema4,año,-0.133
Modelocon10temas_Subtema4,león,-0.128
Modelocon10temas_Subtema5,voto,-0.661
Modelocon10temas_Subtema5,él,0.544
Modelocon10temas_Subtema5,derecho,-0.195
Modelocon10temas_Subtema5,vox,0.152
Modelocon10temas_Subtema5,mujer,-0.118
Modelocon10temas_Subtema5,000,-0.099
Modelocon10temas_Subtema5,decir,0.099
Modelocon10temas_Subtema5,español,-0.095
Modelocon10temas_Subtema5,izquierdo,0.092
Modelocon10temas_Subtema5,gobierno,-0.091
Modelocon10temas_Subtema6,él,-0.482
Modelocon10temas_Subtema6,voto,-0.48
Modelocon10temas_Subtema6,vox,0.349
Modelocon10temas_Subtema6,izquierdo,-0.346
Modelocon10temas_Subtema6,derecho,0.183
Modelocon10temas_Subtema6,medio,-0.139
Modelocon10temas_Subtema6,pasar,-0.135
Modelocon10temas_Subtema6,quedar,-0.101
Modelocon10temas_Subtema6,idea,-0.1
Modelocon10temas_Subtema6,privado,0.097
Modelocon10temas_Subtema7,privado,0.339
Modelocon10temas_Subtema7,público,0.322
Modelocon10temas_Subtema7,aborto,-0.299
Modelocon10temas_Subtema7,izquierdo,0.294
Modelocon10temas_Subtema7,derecho,0.23
Modelocon10temas_Subtema7,león,0.225
Modelocon10temas_Subtema7,castilla,0.212
Modelocon10temas_Subtema7,valladolid,0.194
Modelocon10temas_Subtema7,euros,0.191
Modelocon10temas_Subtema7,año,0.189
Modelocon10temas_Subtema8,izquierdo,-0.472
Modelocon10temas_Subtema8,dirigir,0.399
Modelocon10temas_Subtema8,volver,0.393
Modelocon10temas_Subtema8,gallardo,0.363
Modelocon10temas_Subtema8,medio,-0.349
Modelocon10temas_Subtema8,él,0.183
Modelocon10temas_Subtema8,marcelo,0.154
Modelocon10temas_Subtema8,año,0.108
Modelocon10temas_Subtema8,género,-0.103
Modelocon10temas_Subtema8,vida,-0.095
Modelocon10temas_Subtema9,volver,0.343
Modelocon10temas_Subtema9,él,-0.31
Modelocon10temas_Subtema9,dirigir,0.302
Modelocon10temas_Subtema9,gallardo,0.294
Modelocon10temas_Subtema9,humano,0.283
Modelocon10temas_Subtema9,atemmarincon,0.264
Modelocon10temas_Subtema9,izquierdo,0.255
Modelocon10temas_Subtema9,medio,0.242
Modelocon10temas_Subtema9,vida,0.236
Modelocon10temas_Subtema9,derecho,-0.2
